"","ActivityStartDate","CharacteristicName","ResultMeasureValue","ResultMeasure.MeasureUnitCode"
"302",1997,"Phosphate-phosphorus","0.154","mg/l"
"306",2000,"Phosphate-phosphorus","0.049","mg/l"
"313",2003,"Phosphate-phosphorus","0.024","mg/l"
"317",2005,"Phosphate-phosphorus","0.030","mg/l"
"321",2004,"Phosphate-phosphorus","0.068","mg/l"
"324",1999,"Phosphate-phosphorus","0.135","mg/l"
"329",2001,"Phosphate-phosphorus","0.115","mg/l"
"333",2002,"Phosphate-phosphorus","0.104","mg/l"
"341",2002,"Phosphate-phosphorus","0.020","mg/l"
"343",2001,"Phosphate-phosphorus","0.136","mg/l"
"357",2004,"Phosphate-phosphorus","0.496","mg/l"
"358",1998,"Phosphate-phosphorus","0.274","mg/l"
"360",2005,"Phosphate-phosphorus","0.114","mg/l"
"367",2004,"Phosphate-phosphorus","0.536","mg/l"
"376",2000,"Phosphate-phosphorus","0.153","mg/l"
"378",1996,"Phosphate-phosphorus","0.516","mg/l"
"379",2005,"Phosphate-phosphorus","0.118","mg/l"
"383",1998,"Phosphate-phosphorus","0.348","mg/l"
"393",2015,"Phosphate-phosphorus","0.108","mg/l"
"435",2008,"Phosphate-phosphorus","0.141","mg/l"
"439",2008,"Phosphate-phosphorus","0.048","mg/l"
"444",2008,"Phosphate-phosphorus","0.280","mg/l"
"463",1990,"Phosphate-phosphorus","0.20","mg/l"
"472",1990,"Phosphate-phosphorus","0.36","mg/l"
"473",2014,"Phosphate-phosphorus","0.0458","mg/l"
"477",2012,"Phosphate-phosphorus","0.021","mg/l"
"479",1990,"Phosphate-phosphorus","0.054","mg/l"
"489",1991,"Phosphate-phosphorus","0.24","mg/l"
"498",1993,"Phosphate-phosphorus","0.34","mg/l"
"501",1994,"Phosphate-phosphorus","0.068","mg/l"
"518",1993,"Phosphate-phosphorus","0.18","mg/l"
"521",1995,"Phosphate-phosphorus","0.128","mg/l"
"522",1995,"Phosphate-phosphorus","0.386","mg/l"
"523",1991,"Phosphate-phosphorus","0.111","mg/l"
"527",2010,"Phosphate-phosphorus","0.131","mg/l"
"532",2013,"Phosphate-phosphorus","0.396","mg/l"
"543",2015,"Phosphate-phosphorus","0.0335","mg/l"
"604",2015,"Phosphate-phosphorus","0.0574","mg/l"
"608",2015,"Phosphate-phosphorus","0.0775","mg/l"
"611",2015,"Phosphate-phosphorus","0.123","mg/l"
"617",2014,"Phosphate-phosphorus","0.0326","mg/l"
"618",2014,"Phosphate-phosphorus","0.0394","mg/l"
"639",2018,"Phosphate-phosphorus","0.239","mg/l"
"654",2005,"Phosphate-phosphorus","0.092","mg/l"
"666",1996,"Phosphate-phosphorus","0.301","mg/l"
"680",2005,"Phosphate-phosphorus","0.135","mg/l"
"686",2001,"Phosphate-phosphorus","0.084","mg/l"
"688",2001,"Phosphate-phosphorus","0.387","mg/l"
"693",2000,"Phosphate-phosphorus","0.083","mg/l"
"696",1998,"Phosphate-phosphorus","0.144","mg/l"
"697",1998,"Phosphate-phosphorus","0.137","mg/l"
"701",2000,"Phosphate-phosphorus","0.047","mg/l"
"702",1999,"Phosphate-phosphorus","0.048","mg/l"
"709",2005,"Phosphate-phosphorus","0.039","mg/l"
"710",2001,"Phosphate-phosphorus","0.096","mg/l"
"713",2000,"Phosphate-phosphorus","0.077","mg/l"
"717",2005,"Phosphate-phosphorus","0.108","mg/l"
"733",2011,"Phosphate-phosphorus","0.064","mg/l"
"737",2008,"Phosphate-phosphorus","0.139","mg/l"
"748",2008,"Phosphate-phosphorus","0.13","mg/l"
"759",2010,"Phosphate-phosphorus","0.103","mg/l"
"767",1990,"Phosphate-phosphorus","0.088","mg/l"
"768",1990,"Phosphate-phosphorus","0.109","mg/l"
"772",1990,"Phosphate-phosphorus","","mg/l"
"775",1989,"Phosphate-phosphorus","0.098","mg/l"
"780",2014,"Phosphate-phosphorus","0.0856","mg/l"
"785",1991,"Phosphate-phosphorus","0.096","mg/l"
"792",1994,"Phosphate-phosphorus","0.069","mg/l"
"794",1992,"Phosphate-phosphorus","0.095","mg/l"
"802",1994,"Phosphate-phosphorus","0.128","mg/l"
"814",2010,"Phosphate-phosphorus","0.048","mg/l"
"820",2010,"Phosphate-phosphorus","0.033","mg/l"
"822",2012,"Phosphate-phosphorus","0.019","mg/l"
"824",2013,"Phosphate-phosphorus","0.0171","mg/l"
"827",2014,"Phosphate-phosphorus","0.0339","mg/l"
"916",2016,"Phosphate-phosphorus","0.0233","mg/l"
"921",2014,"Phosphate-phosphorus","0.0390","mg/l"
"926",2018,"Phosphate-phosphorus","0.155","mg/l"
"927",2017,"Phosphate-phosphorus","0.318","mg/l"
"930",2018,"Phosphate-phosphorus","0.129","mg/l"
"933",2019,"Phosphate-phosphorus","0.499","mg/l"
"935",2018,"Phosphate-phosphorus","0.298","mg/l"
"940",2019,"Phosphate-phosphorus","0.0941","mg/l"
"943",2019,"Phosphate-phosphorus","0.0613","mg/l"
"962",2003,"Phosphate-phosphorus","0.091","mg/l"
"969",1999,"Phosphate-phosphorus","0.032","mg/l"
"981",2002,"Phosphate-phosphorus","0.093","mg/l"
"982",2002,"Phosphate-phosphorus","0.025","mg/l"
"987",1999,"Phosphate-phosphorus","0.121","mg/l"
"1015",1999,"Phosphate-phosphorus","0.065","mg/l"
"1018",1999,"Phosphate-phosphorus","0.445","mg/l"
"1021",1998,"Phosphate-phosphorus","0.415","mg/l"
"1032",1999,"Phosphate-phosphorus","0.149","mg/l"
"1038",2002,"Phosphate-phosphorus","0.034","mg/l"
"1045",1989,"Phosphate-phosphorus","0.063","mg/l"
"1064",2007,"Phosphate-phosphorus","0.251","mg/l"
"1071",2008,"Phosphate-phosphorus","0.141","mg/l"
"1080",1988,"Phosphate-phosphorus","0.070","mg/l"
"1093",1990,"Phosphate-phosphorus","0.11","mg/l"
"1102",1991,"Phosphate-phosphorus","0.117","mg/l"
"1110",1991,"Phosphate-phosphorus","0.020","mg/l"
"1123",1994,"Phosphate-phosphorus","0.110","mg/l"
"1126",1992,"Phosphate-phosphorus","0.101","mg/l"
"1130",1991,"Phosphate-phosphorus","0.112","mg/l"
"1135",1994,"Phosphate-phosphorus","0.165","mg/l"
"1137",2012,"Phosphate-phosphorus","0.539","mg/l"
"1147",2012,"Phosphate-phosphorus","0.019","mg/l"
"1150",2012,"Phosphate-phosphorus","0.050","mg/l"
"1152",2014,"Phosphate-phosphorus","0.0688","mg/l"
"1156",2013,"Phosphate-phosphorus","0.260","mg/l"
"1160",2013,"Phosphate-phosphorus","0.257","mg/l"
"1164",2013,"Phosphate-phosphorus","0.0257","mg/l"
"1168",2013,"Phosphate-phosphorus","0.0695","mg/l"
"1207",2013,"Phosphate-phosphorus","0.0708","mg/l"
"1211",2016,"Phosphate-phosphorus","0.432","mg/l"
"1215",2014,"Phosphate-phosphorus","0.0246","mg/l"
"1249",2019,"Phosphate-phosphorus","0.158","mg/l"
"1302",2003,"Phosphate-phosphorus","0.023","mg/l"
"1308",1999,"Phosphate-phosphorus","0.370","mg/l"
"1309",2005,"Phosphate-phosphorus","0.137","mg/l"
"1319",2005,"Phosphate-phosphorus","0.144","mg/l"
"1324",2002,"Phosphate-phosphorus","0.499","mg/l"
"1329",2004,"Phosphate-phosphorus","0.093","mg/l"
"1344",2003,"Phosphate-phosphorus","0.121","mg/l"
"1345",2001,"Phosphate-phosphorus","0.114","mg/l"
"1349",2007,"Phosphate-phosphorus","0.124","mg/l"
"1353",1997,"Phosphate-phosphorus","0.054","mg/l"
"1362",1996,"Phosphate-phosphorus","0.037","mg/l"
"1370",1997,"Phosphate-phosphorus","0.407","mg/l"
"1373",2009,"Phosphate-phosphorus","0.053","mg/l"
"1411",2009,"Phosphate-phosphorus","0.270","mg/l"
"1424",1990,"Phosphate-phosphorus","0.110","mg/l"
"1430",2012,"Phosphate-phosphorus","0.074","mg/l"
"1436",2014,"Phosphate-phosphorus","0.217","mg/l"
"1451",1993,"Phosphate-phosphorus","0.16","mg/l"
"1460",1994,"Phosphate-phosphorus","0.494","mg/l"
"1463",1994,"Phosphate-phosphorus","0.0500","mg/l"
"1467",1993,"Phosphate-phosphorus","0.108","mg/l"
"1479",1993,"Phosphate-phosphorus","0.113","mg/l"
"1482",1992,"Phosphate-phosphorus","0.13","mg/l"
"1484",1994,"Phosphate-phosphorus","0.154","mg/l"
"1490",1995,"Phosphate-phosphorus","0.025","mg/l"
"1491",1994,"Phosphate-phosphorus","0.140","mg/l"
"1496",2011,"Phosphate-phosphorus","0.088","mg/l"
"1503",2013,"Phosphate-phosphorus","0.344","mg/l"
"1506",2014,"Phosphate-phosphorus","0.0247","mg/l"
"1509",2014,"Phosphate-phosphorus","0.0807","mg/l"
"1558",2015,"Phosphate-phosphorus","0.111","mg/l"
"1571",2017,"Phosphate-phosphorus","0.102","mg/l"
"1577",2014,"Phosphate-phosphorus","0.147","mg/l"
"1611",2018,"Phosphate-phosphorus","0.118","mg/l"
"1613",2014,"Phosphate-phosphorus","0.115","mg/l"
"1614",2014,"Phosphate-phosphorus","0.0395","mg/l"
"1616",2017,"Phosphate-phosphorus","0.0456","mg/l"
"1640",2017,"Phosphate-phosphorus","0.122","mg/l"
"1648",2018,"Phosphate-phosphorus","0.268","mg/l"
"1652",2019,"Phosphate-phosphorus","0.163","mg/l"
"1657",2019,"Phosphate-phosphorus","0.119","mg/l"
"1682",2002,"Phosphate-phosphorus","0.098","mg/l"
"1708",2003,"Phosphate-phosphorus","0.135","mg/l"
"1714",1999,"Phosphate-phosphorus","0.375","mg/l"
"1719",1999,"Phosphate-phosphorus","0.137","mg/l"
"1723",1998,"Phosphate-phosphorus","0.120","mg/l"
"1731",1996,"Phosphate-phosphorus","0.114","mg/l"
"1743",1995,"Phosphate-phosphorus","0.122","mg/l"
"1759",2008,"Phosphate-phosphorus","0.214","mg/l"
"1765",2014,"Phosphate-phosphorus","0.377","mg/l"
"1789",2008,"Phosphate-phosphorus","0.453","mg/l"
"1798",1990,"Phosphate-phosphorus","0.124","mg/l"
"1799",1989,"Phosphate-phosphorus","0.155","mg/l"
"1808",2014,"Phosphate-phosphorus","0.0801","mg/l"
"1812",1991,"Phosphate-phosphorus","0.105","mg/l"
"1818",1991,"Phosphate-phosphorus","0.012","mg/l"
"1820",1994,"Phosphate-phosphorus","0.042","mg/l"
"1830",1992,"Phosphate-phosphorus","0.105","mg/l"
"1832",1993,"Phosphate-phosphorus","0.146","mg/l"
"1836",1992,"Phosphate-phosphorus","0.34","mg/l"
"1840",1995,"Phosphate-phosphorus","0.376","mg/l"
"1850",2010,"Phosphate-phosphorus","0.568","mg/l"
"1853",2012,"Phosphate-phosphorus","0.018","mg/l"
"1857",2012,"Phosphate-phosphorus","0.083","mg/l"
"1894",2019,"Phosphate-phosphorus","0.319","mg/l"
"1897",2016,"Phosphate-phosphorus","0.0890","mg/l"
"1900",2015,"Phosphate-phosphorus","0.0887","mg/l"
"1962",2019,"Phosphate-phosphorus","0.192","mg/l"
"1973",1999,"Phosphate-phosphorus","0.034","mg/l"
"1974",2001,"Phosphate-phosphorus","0.182","mg/l"
"1977",1998,"Phosphate-phosphorus","0.031","mg/l"
"1990",2003,"Phosphate-phosphorus","0.039","mg/l"
"1991",2003,"Phosphate-phosphorus","0.048","mg/l"
"1994",2004,"Phosphate-phosphorus","0.099","mg/l"
"2000",1997,"Phosphate-phosphorus","0.084","mg/l"
"2002",1997,"Phosphate-phosphorus","0.150","mg/l"
"2008",1998,"Phosphate-phosphorus","0.157","mg/l"
"2025",2011,"Phosphate-phosphorus","0.017","mg/l"
"2026",2009,"Phosphate-phosphorus","0.147","mg/l"
"2029",2009,"Phosphate-phosphorus","0.148","mg/l"
"2043",2014,"Phosphate-phosphorus","0.0258","mg/l"
"2056",2007,"Phosphate-phosphorus","0.297","mg/l"
"2064",2008,"Phosphate-phosphorus","0.074","mg/l"
"2079",2009,"Phosphate-phosphorus","0.074","mg/l"
"2095",2012,"Phosphate-phosphorus","0.058","mg/l"
"2115",1990,"Phosphate-phosphorus","0.119","mg/l"
